QASUME calibration factors for PFS on DOY: 91, Year: 2014 at Berlin-RAW
QASUME operator: Julian Gröbner
Responsible Scientist: Julian Gröbner
Physikalisch-Meteorologisches Observatorium Davos
World Radiation Center
Dorfstrasse 33, CH-7260 Davos Dorf, Switzerland
Tel: 0041 81 417 51 57
e-mail: Julian.groebner@pmodwrc.ch
------------------------------
First column: Wavelength in nm
Second column: QASUME calibration factors C(wl) (all data below SZA 75)
Third column: QASUME calibration factors C50(wl) (all data below SZA 50)
300.00  131.900 6.527
301.00  46.713 2.710
302.00  26.709 1.800
303.00  7.579 0.953
304.00  5.145 0.999
305.00  2.762 0.828
306.00  2.355 0.913
307.00  1.351 0.853
308.00  1.138 0.904
309.00  1.120 0.952
310.00  0.987 0.908
311.00  0.891 0.864
312.00  0.953 0.944
313.00  0.935 0.919
314.00  0.923 0.921
315.00  0.907 0.903
316.00  1.001 0.962
317.00  0.905 0.854
318.00  1.003 0.996
319.00  0.917 0.911
320.00  0.921 0.906
321.00  0.965 0.967
322.00  0.943 0.923
323.00  0.960 0.957
324.00  0.906 0.899
325.00  0.976 0.957
326.00  0.899 0.893
327.00  0.957 0.944
328.00  0.983 0.966
329.00  0.907 0.902
330.00  0.953 0.939
331.00  0.978 0.962
332.00  0.937 0.930
333.00  0.958 0.943
334.00  0.953 0.935
335.00  0.944 0.930
336.00  1.014 0.997
337.00  0.970 0.950
338.00  0.933 0.918
339.00  0.951 0.934
340.00  0.924 0.905
341.00  0.982 0.967
342.00  0.931 0.914
343.00  0.942 0.923
344.00  1.040 1.022
345.00  0.887 0.871
346.00  0.977 0.960
347.00  0.935 0.919
348.00  0.946 0.933
349.00  0.970 0.957
350.00  0.903 0.890
351.00  0.975 0.966
352.00  0.950 0.940
353.00  0.922 0.912
354.00  0.930 0.922
355.00  0.953 0.945
356.00  0.955 0.948
357.00  0.997 0.991
358.00  0.992 0.987
359.00  0.880 0.872
360.00  0.927 0.920
361.00  0.986 0.979
362.00  0.950 0.943
363.00  0.952 0.945
364.00  0.917 0.910
365.00  0.950 0.941
366.00  0.920 0.911
367.00  0.955 0.947
368.00  0.973 0.963
369.00  0.924 0.914
370.00  0.939 0.931
371.00  0.941 0.931
372.00  1.008 0.998
373.00  0.947 0.938
374.00  0.919 0.909
375.00  0.942 0.932
376.00  0.948 0.939
377.00  0.917 0.908
378.00  0.909 0.899
379.00  1.001 0.991
380.00  0.934 0.923
381.00  0.939 0.929
382.00  1.011 0.999
383.00  0.989 0.977
384.00  0.897 0.886
385.00  0.911 0.898
386.00  0.963 0.950
387.00  0.954 0.941
388.00  0.948 0.935
389.00  0.913 0.900
390.00  0.928 0.916
391.00  0.907 0.894
392.00  0.987 0.974
393.00  1.153 1.140
394.00  0.818 0.808
395.00  0.867 0.859
396.00  0.997 0.990
397.00  1.024 1.021
398.00  0.818 0.814
399.00  0.883 0.878
400.00  0.455 0.453
